id,summary,details,modified,published,package_name,package_ecosystem,package_repo,git_introduced,git_fixed
GO-2022-0621,Exposure of sensitive information in k8s.io/kube-state-metrics,"Exposing annotations as metrics can leak secrets.

An experimental feature of kube-state-metrics enables annotations to be exposed as metrics. By default, metrics only expose metadata about secrets. However, a combination of the default kubectl behavior and this new feature can cause the entire secret content to end up in metric labels.",0001-01-01T00:00:00Z,2021-05-18T15:38:54Z,k8s.io/kube-state-metrics,Go,,,
GO-2023-1990,Excessive CPU consumption when decoding 0-height images in golang.org/x/image/tiff,"A maliciously-crafted image can cause excessive CPU consumption in decoding.

A tiled image with a height of 0 and a very large width can cause excessive CPU consumption, despite the image size (width * height) appearing to be zero.",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,golang.org/x/image,Go,,,
GO-2023-1702,Infinite loop in parsing in go/scanner,Calling any of the Parse functions on Go source code which contains //line directives with very large line numbers can cause an infinite loop due to integer overflow.,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,stdlib,Go,,,
GO-2022-1031,Open redirect in github.com/labstack/echo/v4,Labstack Echo contains an open redirect vulnerability via the Static Handler component. This vulnerability can be leveraged by attackers to cause a Server-Side Request Forgery (SSRF).,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,github.com/labstack/echo/v4,Go,,,
GO-2023-1998,Improper path sanitization in sandbox mode in github.com/projectdiscovery/nuclei/v2,Improper path sanitization in sandbox mode in github.com/projectdiscovery/nuclei/v2,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,github.com/projectdiscovery/nuclei/v2,Go,,,
GO-2022-1002,Panic in github.com/pandatix/go-cvss,ParseVector can panic when provided with invalid input.,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,github.com/pandatix/go-cvss,Go,,,
GO-2021-0096,Memory corruption or code execution in github.com/proglottis/gpgme,"Due to improper setting of finalizers, memory passed to C may be freed before it is used, leading to crashes due to memory corruption or possible code execution.",0001-01-01T00:00:00Z,2021-04-14T20:04:52Z,github.com/proglottis/gpgme,Go,,,
GO-2022-1159,Path traversal in github.com/containers/podman/v4,"The local path and the lowest subdirectory may be disclosed due to incorrect absolute path traversal, resulting in an impact to confidentiality.",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,github.com/containers/podman/v4,Go,,,
GO-2023-1597,Cross site scripting in github.com/kitabisa/teler-waf,Improper sanitization and filtering of HTML entities in user input can lead to cross-site scripting (XSS) attacks where arbitrary JavaScript code is executed in the browser.,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,github.com/kitabisa/teler-waf,Go,,,
GO-2023-1505,Arbitrary file read vulnerability in github.com/uber/kraken,kraken contains an arbitrary file read vulnerability via component testfs.,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,github.com/uber/kraken,Go,,,
GO-2022-0534,Timing attack in github.com/runatlantis/atlantis,"Validation of Gitlab requests can leak secrets.

The package github.com/runatlantis/atlantis/server/controllers/events uses a non-constant time comparison for secrets while validating a Gitlab request. This allows for a timing attack where an attacker can recover a secret and then forge the request.",0001-01-01T00:00:00Z,2022-08-11T20:54:51Z,github.com/runatlantis/atlantis,Go,,,
GO-2022-1143,Restricted file access on Windows in os and net/http,"On Windows, restricted files can be accessed via os.DirFS and http.Dir.

The os.DirFS function and http.Dir type provide access to a tree of files rooted at a given directory. These functions permit access to Windows device files under that root. For example, os.DirFS(""C:/tmp"").Open(""COM1"") opens the COM1 device. Both os.DirFS and http.Dir only provide read-only filesystem access.

In addition, on Windows, an os.DirFS for the directory (the root of the current drive) can permit a maliciously crafted path to escape from the drive and access any path on the system.

With fix applied, the behavior of os.DirFS("""") has changed. Previously, an empty root was treated equivalently to ""/"", so os.DirFS("""").Open(""tmp"") would open the path ""/tmp"". This now returns an error.",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,stdlib,Go,,,
GO-2021-0079,Panic in github.com/bytom/bytom,"A malformed query can cause an out-of-bounds panic due to improper validation of arguments. If processing queries from untrusted parties, this may be used as a vector for denial of service attacks.",0001-01-01T00:00:00Z,2021-04-14T20:04:52Z,github.com/bytom/bytom,Go,,,
GO-2022-0220,DLL injection on Windows in runtime and syscall,"Go on Windows misused certain LoadLibrary functionality, leading to DLL injection.",0001-01-01T00:00:00Z,2022-05-25T18:01:46Z,stdlib,Go,,,
GO-2022-0701,Directory traversal in k8s.io/kubernetes,"Crafted object type names can cause directory traversal in Kubernetes.

Object names are not validated before being passed to etcd. This allows attackers to write arbitrary files via a crafted object name, hence causing directory traversal vulnerability in Kubernetes, as used in Red Hat OpenShift Enterprise 3.0.",0001-01-01T00:00:00Z,2022-02-15T01:57:18Z,k8s.io/kubernetes,Go,,,
GO-2021-0085,Authorization bypass in github.com/opencontainers/runc,"AppArmor restrictions may be bypassed due to improper validation of mount targets, allowing a malicious image to mount volumes over e.g. /proc.",0001-01-01T00:00:00Z,2021-04-14T20:04:52Z,github.com/opencontainers/runc,Go,,,
GO-2021-0075,Panic in github.com/ethereum/go-ethereum,"Due to improper argument validation in RPC messages, a maliciously crafted message can cause a panic, leading to denial of service.",0001-01-01T00:00:00Z,2021-04-14T20:04:52Z,github.com/ethereum/go-ethereum,Go,,,
GO-2023-1861,"Cosmos ""Barberry"" vulnerability in github.com/cosmos/cosmos-sdk","The cosmos-sdk module is affected by the vulnerability codenamed ""Barberry"".",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,github.com/cosmos/cosmos-sdk,Go,,,
GO-2021-0100,Denial of service via deadlock in github.com/containers/storage,"Due to a goroutine deadlock, using github.com/containers/storage/pkg/archive.DecompressStream on a xz archive returns a reader which will hang indefinitely when Close is called. An attacker can use this to cause denial of service if they are able to cause the caller to attempt to decompress an archive they control.",0001-01-01T00:00:00Z,2021-07-28T18:08:05Z,github.com/containers/storage,Go,,,
GO-2022-0166,Denial of service due to unchecked parameters in crypto/dsa,"The Verify function in crypto/dsa passed certain parameters unchecked to the underlying big integer library, possibly leading to extremely long-running computations, which in turn makes Go programs vulnerable to remote denial of service attacks. Programs using HTTPS client certificates or the Go SSH server libraries are both exposed to this vulnerability.",0001-01-01T00:00:00Z,2022-05-24T22:06:33Z,stdlib,Go,,,
GO-2023-2052,IsFromLocal local address check can be circumvented in github.com/gofiber/fiber/v2,The Ctx.IsFromLocal function can incorrectly report a request as being sent from localhost when the request contains an X-Forwarded-For header containing a localhost IP address.,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,github.com/gofiber/fiber/v2,Go,,,
GO-2022-0963,Resource exhaustion in github.com/gagliardetto/binary,"A memory allocation vulnerability can be exploited to allocate arbitrarily large slices, which can exhaust available memory or crash the program.

When parsing data from untrusted sources of input (e.g. the blockchain), the length of the slice to allocate is read directly from the data itself without any checks, which could lead to an allocation of excessive memory.",0001-01-01T00:00:00Z,2022-09-02T18:37:03Z,github.com/gagliardetto/binary,Go,,,
GO-2022-0386,Import token permissions checking not enforced in github.com/nats-io/jwt,"Import tokens valid for one account may be used for any other account.

Validation of Import token bindings incorrectly warns on mismatches, rather than rejecting the Goken. This permits a token for one account to be used for any other account.",0001-01-01T00:00:00Z,2022-07-01T20:11:22Z,github.com/nats-io/jwt,Go,,,
GO-2022-0972,Panic in github.com/shamaton/msgpack/v2,"Unmarshal can panic on some inputs, possibly allowing for denial of service attacks.",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,github.com/shamaton/msgpack/v2,Go,,,
GO-2021-0227,Panic on crafted authentication request message in golang.org/x/crypto/ssh,Clients can cause a panic in SSH servers. An attacker can craft an authentication request message for the “gssapi-with-mic” method which will cause NewServerConn to panic via a nil pointer dereference if ServerConfig.GSSAPIWithMICConfig is nil.,0001-01-01T00:00:00Z,2022-02-17T17:35:32Z,golang.org/x/crypto,Go,,,
GO-2022-0192,Improper input validation in golang.org/x/net/html,"The Parse function can panic on some invalid inputs.

For example, the Parse function panics on the input ""<math><template><mo><template>"".",0001-01-01T00:00:00Z,2022-07-01T20:11:34Z,golang.org/x/net,Go,,,
GO-2022-0233,Resource exhaustion in github.com/pires/go-proxyproto,"The PROXY protocol server does not impose a timeout on reading the header from new connections, allowing a malicious client to cause resource exhaustion and a denial of service by opening many connections and sending no data on them.

v0.6.0 of the proxyproto package adds support for a user-defined header timeout. v0.6.1 adds a default timeout of 200ms and v0.6.2 increases the default timeout to 10s.",0001-01-01T00:00:00Z,2022-07-01T20:18:04Z,github.com/pires/go-proxyproto,Go,,,
GO-2020-0040,Uncontrolled Resource Consumption in github.com/shiyanhui/dht,"Due to unchecked type assertions, maliciously crafted messages can cause panics, which may be used as a denial of service vector.",0001-01-01T00:00:00Z,2021-04-14T20:04:52Z,github.com/shiyanhui/dht,Go,,,
GO-2022-0942,Infinite recursion in parser in github.com/graphql-go/graphql,graphql-go (aka GraphQL for Go) has infinite recursion in the type definition parser.,0001-01-01T00:00:00Z,2022-08-23T13:19:13Z,github.com/graphql-go/graphql,Go,,,
GO-2022-0197,Panic when parsing certain inputs in golang.org/x/net/html,"The Parse function can panic on some invalid inputs.

For example, the Parse function panics on the input ""<svg><template><desc><t><svg></template>"".",0001-01-01T00:00:00Z,2022-07-01T20:15:19Z,golang.org/x/net,Go,,,
GO-2022-0463,Access control bypass in github.com/beego/beego and beego/v2,"Routes in the beego HTTP router can match unintended patterns. This overly-broad matching may permit an attacker to bypass access controls.

For example, the pattern ""/a/b/:name"" can match the URL ""/a.xml/b/"". This may bypass access control applied to the prefix ""/a/"".",0001-01-01T00:00:00Z,2022-07-01T20:06:59Z,github.com/astaxie/beego,Go,,,
GO-2023-1766,Denial of service from memory leak in github.com/ipfs/go-libipfs,An attacker can cause a Bitswap server to allocate and leak unbounded amounts of memory.,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,github.com/ipfs/go-libipfs,Go,,,
GO-2022-0252,Panic on misconfigured IP address in github.com/cloudflare/cfrpki,OctoRPKI crashes when a repository returns an ROA with a IP address that contains too many bits.,0001-01-01T00:00:00Z,2022-07-15T23:07:41Z,github.com/cloudflare/cfrpki,Go,,,
GO-2020-0021,SQL Injection in github.com/gogits/gogs,"Due to improper sanitization of user input, a number of methods are vulnerable to SQL injection if used with user input that has not been sanitized by the caller.",0001-01-01T00:00:00Z,2021-04-14T20:04:52Z,github.com/gogits/gogs,Go,,,
GO-2022-1113,Server-side request forgery in github.com/oam-dev/kubevela,"When using Helm Chart as the component delivery method, the request address of the warehouse is not restricted, and there is a blind SSRF vulnerability.",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,github.com/oam-dev/kubevela,Go,,,
GO-2020-0028,Denial of service in github.com/miekg/dns,"Due to a nil pointer dereference, parsing a malformed zone file containing TA records may cause a panic. If parsing user supplied input, this may be used as a denial of service vector.",0001-01-01T00:00:00Z,2021-04-14T20:04:52Z,github.com/miekg/dns,Go,,,
GO-2022-0515,Stack exhaustion due to deeply nested types in go/parser,Calling any of the Parse functions on Go source code which contains deeply nested types or declarations can cause a panic due to stack exhaustion.,0001-01-01T00:00:00Z,2022-07-20T17:01:45Z,stdlib,Go,,,
GO-2022-0247,Buffer overflow in WASM modules in misc/wasm,"When invoking functions from WASM modules, built using GOARCH=wasm GOOS=js, passing very large arguments can cause portions of the module to be overwritten with data from the arguments due to a buffer overflow error.

If using wasm_exec.js to execute WASM modules, users will need to replace their copy (as described in https://golang.org/wiki/WebAssembly#getting-started) after rebuilding any modules.",0001-01-01T00:00:00Z,2022-05-24T20:14:28Z,toolchain,Go,,,
GO-2022-1027,Path traversal in github.com/cloudwego/hertz,"Improper path sanitization on Windows permits path traversal attacks. Static file serving with the Static or StaticFS functions allows an attacker to access files from outside the filesystem root.

This vulnerability does not affect non-Windows systems.",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,github.com/cloudwego/hertz,Go,,,
GO-2022-0968,Panic on malformed packets in golang.org/x/crypto/ssh,"Unauthenticated clients can cause a panic in SSH servers.

When using AES-GCM or ChaCha20Poly1305, consuming a malformed packet which contains an empty plaintext causes a panic.",0001-01-01T00:00:00Z,2022-09-13T03:32:38Z,golang.org/x/crypto,Go,,,
GO-2020-0035,Path traversal in github.com/yi-ge/unzip,"Due to improper path sanitization, archives containing relative file paths can cause files to be written (or overwritten) outside of the target directory.",0001-01-01T00:00:00Z,2021-04-14T20:04:52Z,github.com/yi-ge/unzip,Go,,,
GO-2021-0142,Unbounded read from invalid inputs in encoding/binary,"ReadUvarint and ReadVarint can read an unlimited number of bytes from invalid inputs.

Certain invalid inputs to ReadUvarint or ReadVarint can cause these functions to read an unlimited number of bytes from the ByteReader parameter before returning an error. This can lead to processing more input than expected when the caller is reading directly from a network and depends on ReadUvarint or ReadVarint only consuming a small, bounded number of bytes, even from invalid inputs.",0001-01-01T00:00:00Z,2022-07-01T20:11:09Z,stdlib,Go,,,
GO-2022-0370,Man-in-the-middle attack due to improper validation of certificate in mellium.im/xmpp,"Websocket client connections are vulnerable to man-in-the-middle attacks via DNS spoofing.

When looking up a WSS endpoint using a DNS TXT record, the server TLS certificate is incorrectly validated using the name of the server returned by the TXT record request, not the name of the the server being connected to. This permits any attacker that can spoof a DNS record to redirect the user to a server of their choosing.

Providing a *tls.Config with a ServerName field set to the correct destination hostname will avoid this issue.",0001-01-01T00:00:00Z,2022-07-29T20:00:14Z,mellium.im/xmpp,Go,,,
GO-2020-0017,Authorization bypass in github.com/dgrijalva/jwt-go,"If a JWT contains an audience claim with an array of strings, rather than a single string, and MapClaims.VerifyAudience is called with req set to false, then audience verification will be bypassed, allowing an invalid set of audiences to be provided.",0001-01-01T00:00:00Z,2021-04-14T20:04:52Z,github.com/dgrijalva/jwt-go,Go,,,
GO-2022-1180,Verification rule bypass in github.com/kyverno/kyverno,`verifyImages` rules can be bypassed by a malicious proxy/registry.,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,github.com/kyverno/kyverno,Go,,,
GO-2022-0526,Stack exhaustion when decoding certain messages in encoding/gob,Calling Decoder.Decode on a message which contains deeply nested structures can cause a panic due to stack exhaustion.,0001-01-01T00:00:00Z,2022-07-20T20:52:17Z,stdlib,Go,,,
GO-2023-1987,Large RSA keys can cause high CPU usage in crypto/tls,"Extremely large RSA keys in certificate chains can cause a client/server to expend significant CPU time verifying signatures.

With fix, the size of RSA keys transmitted during handshakes is restricted to <= 8192 bits.

Based on a survey of publicly trusted RSA keys, there are currently only three certificates in circulation with keys larger than this, and all three appear to be test certificates that are not actively deployed. It is possible there are larger keys in use in private PKIs, but we target the web PKI, so causing breakage here in the interests of increasing the default safety of users of crypto/tls seems reasonable.",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,stdlib,Go,,,
GO-2022-0400,Race condition in github.com/ntbosscher/gobase,A race condition can cause incorrect HTTP request routing.,0001-01-01T00:00:00Z,2022-07-01T20:10:50Z,github.com/ntbosscher/gobase,Go,,,
GO-2022-0190,"Directory traversal via ""go get"" command in cmd/go","The ""go get"" command is vulnerable to directory traversal when executed with the import path of a malicious Go package which contains curly brace (both '{' and '}' characters).

Specifically, it is only vulnerable in GOPATH mode, but not in module mode (the distinction is documented at https://golang.org/cmd/go/#hdr-Module_aware_go_get). The attacker can cause an arbitrary filesystem write, which can lead to code execution.",0001-01-01T00:00:00Z,2022-08-02T15:44:23Z,toolchain,Go,,,
GO-2022-1184,OS command injection vulnerability in code.sajari.com/docconv,"The manipulation of the argument path to docconv.{ConvertPDF,PDFHasImage} leads to os command injection.",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,code.sajari.com/docconv,Go,,,
GO-2022-1059,Denial of service via crafted Accept-Language header in golang.org/x/text/language,An attacker may cause a denial of service by crafting an Accept-Language header which ParseAcceptLanguage will take significant time to parse.,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,golang.org/x/text,Go,,,
GO-2022-0643,Denial of service in github.com/elastic/beats,"A local attacker can cause a panic if they are able to send arbitrary traffic to a monitored port, due to an out of bounds read.",0001-01-01T00:00:00Z,2022-02-15T01:57:18Z,github.com/elastic/beats,Go,,,
GO-2022-0535,Certificate validation bypass on Windows in crypto/x509,"A Windows vulnerability allows attackers to spoof valid certificate chains when the system root store is in use.

A workaround is present in Go 1.12.6+ and Go 1.13.7+, but affected users should additionally install the Windows security update to protect their system.

See https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2020-0601 for details on the Windows vulnerability.",0001-01-01T00:00:00Z,2022-08-01T22:21:17Z,stdlib,Go,,,
GO-2022-0536,Reset flood in net/http and golang.org/x/net/http,"Some HTTP/2 implementations are vulnerable to a reset flood, potentially leading to a denial of service.

Servers that accept direct connections from untrusted clients could be remotely made to allocate an unlimited amount of memory, until the program crashes. The attacker opens a number of streams and sends an invalid request over each stream that should solicit a stream of RST_STREAM frames from the peer. Depending on how the peer queues the RST_STREAM frames, this can consume excess memory, CPU, or both.",0001-01-01T00:00:00Z,2022-08-01T22:20:53Z,stdlib,Go,,,
GO-2022-1165,Denial of service via repository index file in helm.sh/helm/v3,"Applications that use the repo package in the Helm SDK to parse an index file can suffer a Denial of Service when that input causes a panic that cannot be recovered from.

The repo package contains a handler that processes the index file of a repository. For example, the Helm client adds references to chart repositories where charts are managed. The repo package parses the index file of the repository and loads it into memory. Some index files can cause array data structures to be created causing a memory violation.

The Helm Client will panic with an index file that causes a memory violation panic. Helm is not a long running service so the panic will not affect future uses of the Helm client.",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,helm.sh/helm/v3,Go,,,
GO-2022-0525,Improper sanitization of Transfer-Encoding headers in net/http,"The HTTP/1 client accepted some invalid Transfer-Encoding headers as indicating a ""chunked"" encoding. This could potentially allow for request smuggling, but only if combined with an intermediate server that also improperly failed to reject the header as invalid.",0001-01-01T00:00:00Z,2022-07-25T17:34:18Z,stdlib,Go,,,
GO-2023-1821,The x/crisis package does not cause chain halt in github.com/cosmos/cosmos-sdk,"If an invariant check fails on a Cosmos SDK network, and a transaction is sent to the x/crisis package to halt the chain, the chain does not halt as originally intended.

No patch will be released, as the package is planned to be deprecated and replaced.",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,github.com/cosmos/cosmos-sdk,Go,,,
GO-2022-1052,Uncontrolled resource consumption during consensus in github.com/tendermint/tendermint,"Mishandling of timestamps during consensus process can cause a denial of service.

While reaching consensus, different tendermint nodes can observe a different timestamp for a consensus evidence. This mismatch can cause the evidence to be invalid, upon which the node producing the evidence will be asked to generate a new evidence. This new evidence will be the same, which means it will again be rejected by other nodes involved in the consensus. This loop will continue until the peer nodes decide to disconnect from the node producing the evidence.",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,github.com/tendermint/tendermint,Go,,,
GO-2022-0346,Path traversal in github.com/quay/claircore,A maliciously crafted RPM file can cause the Scanner.Scan function to write files with arbitrary contents to arbitrary locations on the local filestem.,0001-01-01T00:00:00Z,2022-07-15T23:30:27Z,github.com/quay/claircore,Go,,,
GO-2022-0217,Denial of service affecting P-521 and P-384 curves in crypto/elliptic,"A DoS vulnerability in the crypto/elliptic implementations of the P-521 and P-384 elliptic curves may let an attacker craft inputs that consume excessive amounts of CPU.

These inputs might be delivered via TLS handshakes, X.509 certificates, JWT tokens, ECDH shares or ECDSA signatures. In some cases, if an ECDH private key is reused more than once, the attack can also lead to key recovery.",0001-01-01T00:00:00Z,2022-05-24T15:21:01Z,stdlib,Go,,,
GO-2020-0050,XML digital signature validation bypass in github.com/russellhaering/goxmldsig,"Due to the behavior of encoding/xml, a crafted XML document may cause XML Digital Signature validation to be entirely bypassed, causing an unsigned document to appear signed.",0001-01-01T00:00:00Z,2021-04-14T20:04:52Z,github.com/russellhaering/goxmldsig,Go,,,
GO-2023-1751,Improper sanitization of CSS values in html/template,"Angle brackets (<>) are not considered dangerous characters when inserted into CSS contexts. Templates containing multiple actions separated by a '/' character can result in unexpectedly closing the CSS context and allowing for injection of unexpected HTML, if executed with untrusted input.",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,stdlib,Go,,,
GO-2022-1166,Denial of service via schema file in helm.sh/helm/v3,"Certain JSON schema validation files can cause a Helm Client to panic, leading to a possible denial of service.

The chartutil package contains a parser that loads a JSON Schema validation file. For example, the Helm client when rendering a chart will validate its values with the schema file. The chartutil package parses the schema file and loads it into memory, but some schema files can cause array data structures to be created causing a memory violation.

The Helm Client will panic with a schema file that causes a memory violation panic. Helm is not a long running service so the panic will not affect future uses of the Helm client.",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,helm.sh/helm/v3,Go,,,
GO-2022-0587,Out of bounds memory access in github.com/open-policy-agent/opa,"An issue in ast.Parser in Open Policy Agent causes the application to incorrectly interpret expressions, allowing a Denial of Service (DoS) via triggering out-of-range memory access.",0001-01-01T00:00:00Z,2022-05-20T00:00:26Z,github.com/open-policy-agent/opa,Go,,,
GO-2021-0172,Denial of service when parsing large forms in mime/multipart,"When parsing large multipart/form-data, an attacker can cause a HTTP server to open a large number of file descriptors. This may be used as a denial-of-service vector.",0001-01-01T00:00:00Z,2022-02-15T23:56:14Z,stdlib,Go,,,
GO-2021-0064,Unauthorized credential disclosure in k8s.io/kubernetes and k8s.io/client-go,Authorization tokens may be inappropriately logged if the verbosity level is set to a debug level.,0001-01-01T00:00:00Z,2021-04-14T20:04:52Z,k8s.io/client-go,Go,,,
GO-2023-1874,Denial of service in github.com/corazawaf/coraza/v2 and v3,"Due to the misuse of log.Fatalf, Coraza may crash after receiving crafted requests from attackers.",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,github.com/corazawaf/coraza/v2,Go,,,
GO-2021-0076,Out-of-bounds write in github.com/evanphx/json-patch,A malicious JSON patch can cause a panic due to an out-of-bounds write attempt. This can be used as a denial of service vector if exposed to arbitrary user input.,0001-01-01T00:00:00Z,2021-04-14T20:04:52Z,github.com/evanphx/json-patch,Go,,,
GO-2020-0005,Panic due to malformed WALs in go.etcd.io/etcd,"Malformed WALs can be constructed such that WAL.ReadAll can cause attempted out of bounds reads, or creation of arbitrarily sized slices, which may be used as a DoS vector.",0001-01-01T00:00:00Z,2021-04-14T20:04:52Z,go.etcd.io/etcd,Go,,,
GO-2023-1878,Insufficient sanitization of Host header in net/http,"The HTTP/1 client does not fully validate the contents of the Host header. A maliciously crafted Host header can inject additional headers or entire requests.

With fix, the HTTP/1 client now refuses to send requests containing an invalid Request.Host or Request.URL.Host value.",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,stdlib,Go,,,
GO-2020-0015,Infinite loop when decoding some inputs in golang.org/x/text,"An attacker could provide a single byte to a UTF16 decoder instantiated with UseBOM or ExpectBOM to trigger an infinite loop if the String function on the Decoder is called, or the Decoder is passed to transform.String. If used to parse user supplied input, this may be used as a denial of service vector.",0001-01-01T00:00:00Z,2021-04-14T20:04:52Z,golang.org/x/text,Go,,,
GO-2023-1992,Misleading message verification in golang.org/x/crypto/openpgp/clearsign,"The clearsign package accepts some malformed messages, making it possible for an attacker to trick a human user (but not a Go program) into thinking unverified text is part of the message.

With fix, messages with malformed headers in the SIGNED MESSAGE section are rejected.",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,golang.org/x/crypto,Go,,,
GO-2020-0037,Uncontrolled resource consumption in github.com/tendermint/tendermint,"Due to support of Gzip compression in request bodies, as well as a lack of limiting response body sizes, a malicious server can cause a client to consume a significant amount of system resources, which may be used as a denial of service vector.",0001-01-01T00:00:00Z,2021-04-14T20:04:52Z,github.com/tendermint/tendermint,Go,,,
GO-2022-1129,Authentication bypass in github.com/crewjam/saml,Authentication bypass is possible when processing SAML responses containing multiple Assertion elements.,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,github.com/crewjam/saml,Go,,,
GO-2021-0240,Panic when reading certain archives in archive/zip,"NewReader and OpenReader can cause a panic or an unrecoverable fatal error when reading an archive that claims to contain a large number of files, regardless of its actual size.",0001-01-01T00:00:00Z,2022-02-17T17:33:25Z,stdlib,Go,,,
