id,details
GO-2020-0050,"Due to the behavior of encoding/xml, a crafted XML document may cause XML Digital Signature validation to be entirely bypassed, causing an unsigned document to appear signed."
GO-2022-1166,"Certain JSON schema validation files can cause a Helm Client to panic, leading to a possible denial of service.

The chartutil package contains a parser that loads a JSON Schema validation file. For example, the Helm client when rendering a chart will validate its values with the schema file. The chartutil package parses the schema file and loads it into memory, but some schema files can cause array data structures to be created causing a memory violation.

The Helm Client will panic with a schema file that causes a memory violation panic. Helm is not a long running service so the panic will not affect future uses of the Helm client."
GO-2022-0587,"An issue in ast.Parser in Open Policy Agent causes the application to incorrectly interpret expressions, allowing a Denial of Service (DoS) via triggering out-of-range memory access."
GO-2021-0064,Authorization tokens may be inappropriately logged if the verbosity level is set to a debug level.
GO-2023-1874,"Due to the misuse of log.Fatalf, Coraza may crash after receiving crafted requests from attackers."
GO-2021-0076,A malicious JSON patch can cause a panic due to an out-of-bounds write attempt. This can be used as a denial of service vector if exposed to arbitrary user input.
GO-2020-0005,"Malformed WALs can be constructed such that WAL.ReadAll can cause attempted out of bounds reads, or creation of arbitrarily sized slices, which may be used as a DoS vector."
GO-2020-0037,"Due to support of Gzip compression in request bodies, as well as a lack of limiting response body sizes, a malicious server can cause a client to consume a significant amount of system resources, which may be used as a denial of service vector."
GO-2022-1129,Authentication bypass is possible when processing SAML responses containing multiple Assertion elements.
GO-2022-0379,"Systems that rely on digest equivalence for image attestations may be vulnerable to type confusion.

A maliciously crafted OCI Container Image can cause registry clients to parse the same image in two different ways without modifying the image's digest, invalidating the common pattern of relying on container image digests for equivalence.

This problem has been addressed in newer versions by improving validation in manifest unmarshalling."
GO-2021-0066,Attempting to read a malformed .dockercfg may cause secrets to be inappropriately logged.
GO-2022-0945,"The go-jose library suffers from multiple signatures exploitation. When validating a signed message, the API did not indicate which signature was valid, which creates the potential for confusion."
GO-2020-0009,"On 32-bit platforms an attacker can manipulate a ciphertext encrypted with AES-CBC with HMAC such that they can control how large the input buffer is when computing the HMAC authentication tag. This can can allow a manipulated ciphertext to be verified as authentic, opening the door for padding oracle attacks."
GO-2020-0010,When using ECDH-ES an attacker can mount an invalid curve attack during decryption as the supplied public key is not checked to be on the same curve as the receivers private key.
GO-2023-1664,Denial of service via deflate compression bomb in github.com/crewjam/saml
GO-2022-0572,An issue was discovered in the route lookup process in beego which attackers to bypass access control.
GO-2023-2119,"A a third party may derive a valid proof from a valid initial tuple {proof, public_inputs}, corresponding to the same public inputs as the initial proof. This vulnerability is due to randomness being generated using a small part of the scratch memory describing the state, allowing for degrees of freedom in the transcript. Note that the impact is limited to the PlonK verifier smart contract."
GO-2022-0762,An XSS injection was possible because the sanitization of the Cyrillic character i bypass a protection mechanism against user-inputted HTML elements such as the <script> tag.
GO-2022-0355,"The fasthttp.FS request handler is vulnerable to directory traversal attacks on Windows systems, and can serve files from outside the provided root directory.

URL path normalization does not handle Windows path separators (backslashes), permitting an attacker to construct requests with relative paths."
GO-2022-0957,A maliciously crafted JSON input can cause a denial of service attack.
GO-2022-0274,An attacker with partial control over the bind mount sources of a new container can bypass namespace restrictions.
GO-2021-0106,"Due to improper path sanitization, archives containing relative file paths can cause files to be written (or overwritten) outside of the target directory."
GO-2022-0574,An issue in the AST parser of Open Policy Agent makes it possible for attackers to cause a Denial of Service attack from a crafted input.
GO-2020-0008,DNS message transaction IDs are generated using math/rand which makes them relatively predictable. This reduces the complexity of response spoofing attacks against DNS clients.
GO-2022-1045,The Singularity Image Format (SIF) reference implementation does not verify that the hash algorithm(s) used are cryptographically secure when verifying digital signatures.
GO-2022-1130,"If an attacker has access to a Prometheus web.yml file and users' bcrypted passwords, it would be possible to bypass security via the built-in authentication cache."
GO-2023-1717,Users can create a keyspace containing `/`. Future attempts to view keyspaces from some tools (including VTAdmin and `vtctldclient GetKeyspaces`) receive an error.
GO-2023-1574,"Supplementary groups are not set up properly inside a container. If an attacker has direct access to a container and manipulates their supplementary group access, they may be able to use supplementary group access to bypass primary group restrictions in some cases and potentially escalate privileges in the container. Uses of the containerd client library may also have improperly setup supplementary groups."
GO-2021-0103,"Due to improper bounds checking, certain mathematical operations can cause a panic via an out of bounds read. If this package is used to process untrusted user inputs, this may be used as a vector for a denial of service attack."
GO-2020-0041,"Due to improper path sanitization, archives containing relative file paths can cause files to be written (or overwritten) outside of the target directory."
GO-2021-0228,"The ExtractTo function doesn't securely escape file paths in zip archives which include leading or non-leading "".."". This allows an attacker to add or replace files system-wide."
GO-2022-0246,"The ROAEntry.Validate function fails to perform bounds checks on the MaxLength field, allowing invalid values to pass validation."
GO-2021-0065,Authorization tokens may be inappropriately logged if the verbosity level is set to a debug level.
GO-2023-2077,Authentication bypass in github.com/sagernet/sing
GO-2020-0020,"Usage of the CORS handler may apply improper CORS headers, allowing the requester to explicitly control the value of the Access-Control-Allow-Origin header, which bypasses the expected behavior of the Same Origin Policy."
GO-2021-0094,Protections against directory traversal during archive extraction can be bypassed by chaining multiple symbolic links within the archive. This allows a malicious attacker to cause files to be created outside of the target directory. Additionally if the attacker is able to read extracted files they may create symbolic links to arbitrary files on the system which the unpacker has permissions to read.
GO-2023-1494,There is a potential for SQL injection through manipulation of the sqlStatement argument.
GO-2021-0109,"Due to improper error handling, an error with the underlying token storage may cause a user to believe a token has been successfully revoked when it is in fact still valid. An attackers ability to exploit this relies on an ability to trigger errors in the underlying storage."
GO-2021-0112,"Due to improper input sanitization when marshalling Go objects into BSON, a maliciously constructed Go structure could allow an attacker to inject additional fields into a MongoDB document. Users are affected if they use this package to handle untrusted user input."
GO-2022-0706,Sensitive HTTP headers may not be properly sanitized before being sent to the APM server if the program panics.
GO-2021-0051,"Due to improper sanitization of user input on Windows, the static file handler allows for directory traversal, allowing an attacker to read files outside of the target directory that the server has permission to read."
GO-2022-0422,The dag-pb codec can panic when decoding invalid blocks.
GO-2020-0048,"LoadURL does not check the Content-Type of loaded resources, which can cause a panic due to nil pointer deference if the loaded resource is not XML. If user supplied URLs are loaded, this may be used as a denial of service vector."
GO-2020-0039,"Due to improper request sanitization, a specifically crafted URL can cause the static file handler to redirect to an attacker chosen URL, allowing for open redirect attacks."
GO-2023-2048,Certain rootfs and path combinations result in generated paths that are outside of the provided rootfs on Windows.
GO-2022-0251,OctoRPKI crashes when a repository returns an invalid ROA that is only an encoded NUL character (\0).
GO-2023-1515,"A denial of service (DoS) vulnerability exists in the Wrangler Git package. Specially crafted Git credentials can result in a denial of service (DoS) attack on an application that uses Wrangler due to the exhaustion of the available memory and CPU resources.

This is caused by a lack of input validation of Git credentials before they are used, which may lead to a denial of service in some cases. This issue can be triggered when accessing both private and public Git repositories.

A workaround is to sanitize input passed to the Git package to remove potential unsafe and ambiguous characters. Otherwise, the best course of action is to update to a patched Wrangler version."
GO-2022-0586,"Malicious HTTP responses can cause a number of misbehaviors, including overwriting local files, resource exhaustion, and panics.

* Protocol switching, endless redirect, and configuration bypass are possible through abuse of custom HTTP response header processing.

* Arbitrary host access is possible through go-getter path traversal, symlink processing, and command injection flaws.

* Asymmetric resource exhaustion can occur when go-getter processes malicious HTTP responses.

* A panic can be triggered when go-getter processed password-protected ZIP files."
GO-2020-0027,"After dropping and then elevating process privileges euid, guid, and groups are not properly restored to their original values, allowing an unprivileged user to gain membership in the root group."
GO-2021-0101,"Due to an improper bounds check, parsing maliciously crafted messages can cause panics. If this package is used to parse untrusted input, this may be used as a vector for a denial of service attack."
GO-2020-0006,"An attacker may prevent TCP connections to a Server by opening a connection and leaving it idle, until the connection is closed by the server no other connections will be accepted."
GO-2021-0070,"GetExecUser in the github.com/opencontainers/runc/libcontainer/user package will improperly interpret numeric UIDs as usernames. If the method is used without verifying that usernames are formatted as expected, it may allow a user to gain unexpected privileges."
GO-2023-2074,Parser out-of-bounds read vulnerability caused by a malformed markdown input
GO-2021-0237,Attackers may be able to craft phishing links and other open redirects by exploiting PowerMux's trailing slash redirection feature. This may lead to users being redirected to untrusted sites after following an attacker crafted link.
GO-2022-0978,"Open Policy Agent (OPA) is an open source, general-purpose policy engine. The Rego compiler provides a (deprecated) `WithUnsafeBuiltins` function, which allows users to provide a set of built-in functions that should be deemed unsafe and rejected by the compiler if encountered in the policy compilation stage.

A bypass of this protection is possible when using the `with` keyword to mock a built-in function that isn't taken into account by `WithUnsafeBuiltins`."
GO-2023-1713,An attacker can craft a remote request to upload a file to `/group1/upload` that uses path traversal to instead write the file contents to an attacker controlled path on the server.
GO-2023-2133,"Without any authorization rules in the nats-server, users can connect without authentication.

Before nats-server 2.2.0, all authentication and authorization rules for a nats-server lived in an ""authorization"" block, defining users. With nats-server 2.2.0 all users live inside accounts. When using the authorization block, whose syntax predates this, those users will be placed into the implicit global account, ""$G"". Users inside accounts go into the newer ""accounts"" block.

If an ""accounts"" block is defined, in simple deployment scenarios this is often used only to enable client access to the system account. When the only account added is the system account ""$SYS"", the nats-server would create an implicit user in ""$G"" and set it as the `no_auth_user` account, enabling the same ""without authentication"" logic as without any rules.

This preserved the ability to connect simply, and then add one authenticated login for system access.

But with an ""authorization"" block, this is wrong. Users exist in the global account, with login rules. And in simple testing, they might still connect fine without administrators seeing that authentication has been disabled.

In the fixed versions, using an ""authorization"" block will inhibit the implicit creation of a ""$G"" user and setting it as the `no_auth_user` target. In unfixed versions, just creating a second account, with no users, will also inhibit this behavior."
GO-2022-0603,An issue in the Unmarshal function can cause a program to panic when attempting to deserialize invalid input.
GO-2023-1573,"When importing an OCI image, there was no limit on the number of bytes read from the io.Reader passed into ImportIndex. A large number of bytes could be read from this and could cause a denial of service."
GO-2023-1872,OpenFGA is vulnerable to a denial of service attack when certain Check and ListObjects calls are executed against authorization models that contain circular relationship definitions.
GO-2023-1534,"Unmarshalling a Hello Verify request can panic, which could allow a denial of service."
GO-2020-0042,"Due to improper path sanitization, RPMs containing relative file paths can cause files to be written (or overwritten) outside of the target directory."
GO-2023-1859,AES-CBC decryption is vulnerable to a timing attack which may permit an attacker to recover the plaintext of JWE data.
GO-2022-0646,"The Go AWS S3 Crypto SDK contains vulnerabilities that can permit an attacker with write access to a bucket to decrypt files in that bucket.

Files encrypted by the V1 EncryptionClient using either the AES-CBC content cipher or the KMS key wrap algorithm are vulnerable. Users should migrate to the V1 EncryptionClientV2 API, which will not create vulnerable files. Old files will remain vulnerable until re-encrypted with the new client."
GO-2021-0110,"Uniqueness of JWT IDs (jti) are not checked, allowing the JWT to be replayed."
GO-2022-0460,An attacker can send packets that send the DTLS server or client into an infinite loop.
GO-2022-0438,"The getter package can write SSH credentials to its logfile, exposing credentials to local users able to read the logfile."
GO-2022-1201,"Client secret checks are vulnerable to timing attacks, which could permit an attacker to determine client secrets."
GO-2023-2101,Incorrect exponentiation results in github.com/consensys/gnark-crypto
GO-2023-1611,fsutil.Unzip is vulnerable to path traversal attacks due to improper validation of paths.
GO-2022-0244,"Random data used to create UUIDs can contain zeros, resulting in predictable UUIDs and possible collisions."
GO-2021-0105,"Due to an incorrect state calculation, a specific set of transactions could cause a consensus disagreement, causing users of this package to reject a canonical chain."
GO-2022-0248,"Manifest path extraction is vulnerable to directory traversal attacks.

The ExtractPathManifest function permits file paths containing relative directory components (""..""), permitting files to reference arbitrary locations on the filesystem."
GO-2023-1559,"Trying to read malformed HAMT sharded directories can cause panics and virtual memory leaks. If you are reading untrusted user input, an attacker can then trigger a panic.

This is caused by a bogus fanout parameter in the HAMT directory nodes.

There are no known workarounds (users are advised to upgrade)."
GO-2023-1623,"An out of memory panic vulnerability exists in the crossplane-runtime libraries.

Applications that use the Paved type's SetValue method with user-provided input that is not properly validated might use excessive amounts of memory and cause an out of memory panic.

In the fieldpath package, the Paved.SetValue method sets a value on the Paved object according to the provided path, without any validation. This allows setting values in slices at any provided index, which grows the target array up to the requested index. The index is currently capped at max uint32 (4294967295), a large value. If callers do not validate paths' indexes on their own, this could allow users to consume arbitrary amounts of memory.

Applications that do not use the Paved type's SetValue method are not affected.

Users unable to upgrade can work around this issue by parsing and validating the path before passing it to the SetValue method of the Paved type, constraining the index size as deemed appropriate."
GO-2021-0063,"Due to a nil pointer dereference, a maliciously crafted RPC message can cause a panic. If handling RPC messages from untrusted clients, this may be used as a denial of service vector."
GO-2020-0022,"LZ4 bindings use a deprecated C API that is vulnerable to memory corruption, which could lead to arbitrary code execution if called with untrusted user input."
GO-2023-1765,"When sampling randomness for a shared secret, the implementation of Kyber and FrodoKEM, did not check whether crypto/rand.Read() returns an error. In rare deployment cases (error thrown by the Read() function), this could lead to a predictable shared secret.

The tkn20 and blindrsa components did not check whether enough randomness was returned from the user provided randomness source. Typically the user provides crypto/rand.Reader, which in the vast majority of cases will always return the right number random bytes. In the cases where it does not, or the user provides a source that does not, the blinding for blindrsa is weak and integrity of the plaintext is not ensured in tkn20."
GO-2023-1566,A malicious actor can introduce links starting with a `javascript:` scheme due to insufficient checks on external resources. This can be used as a part of Cross-site Scripting (XSS) attack.
GO-2020-0038,"Due to improper verification of packets, unencrypted packets containing application data are accepted after the initial handshake. This allows an attacker to inject arbitrary data which the client/server believes was encrypted, despite not knowing the session key."
GO-2021-0087,"A race while mounting volumes allows a possible symlink-exchange attack, allowing a user whom can start multiple containers with custom volume mount configurations to escape the container."
GO-2021-0058,"Due to the behavior of encoding/xml, a crafted XML document may cause XML Digital Signature validation to be entirely bypassed, causing an unsigned document to appear signed."
GO-2021-0098,Due to the standard library behavior of exec.LookPath on Windows a number of methods may result in arbitrary code execution when cloning or operating on untrusted Git repositories.
GO-2022-0417,"Containers are created with non-empty inheritable Linux process capabilities, permitting programs with inheritable file capabilities to elevate those capabilities to the permitted set during execve(2).

This bug does not affect the container security sandbox, as the inheritable set never contains more capabilities than are included in the container's bounding set."
GO-2023-1602,"A bug in SAML authentication library can result in Denial of Service attacks.

Attackers can craft a `deflate`-compressed request which will consume significantly more memory during processing than the size of the original request. This may eventually lead to memory exhaustion and the process being killed."
GO-2022-0980,"The text of errors returned by Template.Execute can contain Vault secrets, potentially revealing these secrets in logs or error reports."
GO-2021-0090,"Proposed commits may contain signatures for blocks not contained within the commit. Instead of skipping these signatures, they cause failure during verification. A malicious proposer can use this to force consensus failures."
GO-2020-0025,"Due to improper path sanitization, archives containing relative file paths can cause files to be written (or overwritten) outside of the target directory."
GO-2021-0072,"Various storage methods do not impose limits on how much content is accepted from user requests, allowing a malicious user to force the caller to allocate an arbitrary amount of memory."
GO-2020-0023,"Token validation methods are susceptible to a timing side-channel during HMAC comparison. With a large enough number of requests over a low latency connection, an attacker may use this to determine the expected HMAC."
GO-2022-0300,"Malicious inputs can cause a panic.

A maliciously crafted input can cause a stack overflow and panic. Any user with access to the GraphQL can send such a query.

This issue only occurs when using the graphql.MaxDepth schema option (which is highly recommended in most cases)."
GO-2022-0962,"Applications that use the strvals package in the Helm SDK to parse user supplied input can suffer a Denial of Service when that input causes a panic that cannot be recovered from.

The strvals package contains a parser that turns strings into Go structures. For example, the Helm client has command line flags like --set, --set-string, and others that enable the user to pass in strings that are merged into the values. The strvals package converts these strings into structures Go can work with. Some string inputs can cause array data structures to be created causing an out of memory panic.

The Helm Client will panic with input to --set, --set-string, and other value setting flags that causes an out of memory panic. Helm is not a long running service so the panic will not affect future uses of the Helm client."
GO-2023-1497,"When the scs-library-client is used to pull a container image, with authentication, the HTTP Authorization header sent by the client to the library service may be incorrectly leaked to an S3 backing storage provider."
GO-2022-1114,A ZipSlip vulnerability exists when using the fileutil package to unzip files.
GO-2023-1832,An attacker who controls or compromises a registry can lead a user to verify the wrong artifact.
GO-2020-0007,"Filters containing rules with multiple syscall arguments are improperly constructed, such that all arguments are required to match rather than any of the arguments (AND is used rather than OR). These filters can be bypassed by only specifying a subset of the arguments due to this behavior."
GO-2021-0059,"Due to improper bounds checking, maliciously crafted JSON objects can cause an out-of-bounds panic. If parsing user input, this may be used as a denial of service vector."
GO-2022-0444,"The TUF client is vulnerable to rollback attacks, in which an attacker causes a client to install software older than the software the client previously knew to be available."
GO-2022-1188,An attacker can remotely supply a specially crafted input that causes uncontrolled memory allocation.
GO-2020-0045,"CSRF tokens are generated using math/rand, which is not a cryptographically secure random number generator, allowing an attacker to predict values and bypass CSRF protections with relatively few requests."
GO-2020-0033,"Due to improper sanitization of user input, HTTPEngine.Handle allows for directory traversal, allowing an attacker to read files outside of the target directory that the server has permission to read."
GO-2023-1923,Panic when handling invalid HAProxy PROXY v2 request in github.com/mastercactapus/proxyprotocol
GO-2021-0095,"Due to repeated usage of a XOR key an attacker that can eavesdrop on the TPM 1.2 transport is able to calculate usageAuth for keys created using CreateWrapKey, despite it being encrypted, allowing them to use the created key."
GO-2023-1640,Path traversal when unzipping files in github.com/dablelv/go-huge-util
GO-2022-0588,"The bluemonday HTML sanitizer can leak the contents of a ""style"" element into HTML output, potentially causing XSS vulnerabilities.

The default bluemonday sanitization policies are not vulnerable. Only user-defined policies allowing ""select"", ""style"", and ""option"" elements are affected.

Permitting the ""style"" element in policies is hazardous, because bluemonday does not contain a CSS sanitizer. Newer versions of bluemonday suppress ""style"" and ""script"" elements even when allowed by a policy unless the policy explicitly requests unsafe processing."
GO-2021-0057,"Due to improper bounds checking, maliciously crafted JSON objects can cause an out-of-bounds panic. If parsing user input, this may be used as a denial of service vector."
GO-2023-1578,HashiCorp go-getter is vulnerable to decompression bombs. This can lead to excessive memory consumption and denial-of-service attacks.
GO-2021-0061,"Due to unbounded alias chasing, a maliciously crafted YAML file can cause the system to consume significant system resources. If parsing user input, this may be used as a denial of service vector."
GO-2020-0026,"Due to improper path sanitization, archives containing relative file paths can cause files to be written (or overwritten) outside of the target directory."
GO-2023-1535,"Unmarshalling a Server Hello can panic, which could allow a denial of service."
GO-2020-0004,"If any of the ListenAndServe functions are called with an empty token, token authentication is disabled globally for all listeners.

Also, a minor timing side channel was present allowing attackers with very low latency and able to make many requests to potentially recover the token."
GO-2021-0108,"Due to improper input sanitization, a maliciously constructed filename could cause a file download to use an attacker controlled filename, as well as injecting additional headers into an HTTP response."
GO-2023-1595,"Multiplication of certain unreduced P-256 scalars produce incorrect results.

There are no protocols known at this time that can be attacked due to this."
GO-2021-0102,"Due to improper input validation, a maliciously crafted input can cause a panic, due to incorrect nonce size. If this package is used to decrypt user supplied messages without checking the size of supplied nonces, this may be used as a vector for a denial of service attack."
GO-2022-1040,"Helm does not sanitize all fields read from repository data files. A maliciously crafted data file may contain strings containing arbitrary data. If printed to a terminal, a malicious string could obscure or alter data on the screen."
GO-2023-2098,Unsoundness in variable comparison / non-unique binary decomposition in github.com/consensys/gnark
GO-2021-0060,"Due to the behavior of encoding/xml, a crafted XML document may cause XML Digital Signature validation to be entirely bypassed, causing an unsigned document to appear signed."
GO-2022-0345,The RunUsingChroot function unintentionally propagates environment variables from the current process to the child process.
GO-2021-0052,"Due to improper HTTP header sanitization, a malicious user can spoof their source IP address by setting the X-Forwarded-For header. This may allow a user to bypass IP based restrictions, or obfuscate their true source."
GO-2022-1175,A malicious actor could remotely read local files by submitting to the Alertmanager Set Configuration API maliciously crafted inputs. Only users of the Alertmanager service where `-experimental.alertmanager.enable-api` or `enable_api: true` is configured are affected.
GO-2021-0097,"Due to improper bounds checking, a number of methods can trigger a panic due to attempted out-of-bounds reads. If the package is used to parse user supplied input, this may be used as a vector for a denial of service attack."
GO-2022-1117,"In certain scenarios, a malicious immudb server can provide a falsified proof that will be accepted by the client SDK signing a falsified transaction replacing the genuine one. This situation can not be triggered by a genuine immudb server and requires the client to perform a specific list of verified operations resulting in acceptance of an invalid state value.

This vulnerability only affects immudb client SDKs, the immudb server itself is not affected by this vulnerability."
GO-2023-1681,"A Time-of-check Time-of-use (TOCTOU) flaw appears in this version of podman. This issue may allow a malicious user to replace a normal file in a volume with a symlink while exporting the volume, allowing for access to arbitrary files on the host file system."
GO-2021-0099,"Due to improper path validation, using the github.com/deislabs/oras/pkg/content.FileStore content store may result in directory traversal during archive extraction, allowing a malicious archive to write paths to arbitrary paths that the process can write to."
GO-2023-1547,"An information disclosure vulnerability exists in the `getHostByName` template function.

`getHostByName` is a Helm template function introduced in Helm v3. The function is able to accept a hostname and return an IP address for that hostname. To get the IP address the function performs a DNS lookup. The DNS lookup happens when used with `helm install|upgrade|template` or when the Helm SDK is used to render a chart.

Information passed into the chart can be disclosed to the DNS servers used to lookup the IP address. For example, a malicious chart could inject `getHostByName` into a chart in order to disclose values to a malicious DNS server."
GO-2021-0077,"A user can use a valid client certificate that contains a CommonName that matches a valid RBAC username to authenticate themselves as that user, despite lacking the required credentials. This may allow authentication bypass, but requires a certificate that is issued by a CA trusted by the server."
GO-2020-0036,"Due to unbounded aliasing, a crafted YAML file can cause consumption of significant system resources. If parsing user supplied input, this may be used as a denial of service vector."
GO-2023-1600,"Improper handling of payload with special characters, such as CR/LF and horizontal tab, can lead to execution of arbitrary JavaScript code."
GO-2021-0086,"HTML content in markdown is not sanitized during rendering, possibly allowing XSS if used to render untrusted user input."
GO-2023-1567,"Due to improper request sanitization, a crafted URL can cause the static file handler to redirect to an attacker chosen URL, allowing for open redirect attacks."
GO-2023-1526,"Paranoidhttp before is vulnerable to SSRF because [::] is equivalent to the 127.0.0.1 address, but does not match the filter for private addresses."
GO-2023-2024,A malicious actor can store an arbitrary amount of data in the memory of a remote node by sending the node a message with a signed peer record. Signed peer records from randomly generated peers can be sent by a malicious actor. This memory does not get garbage collected and so the remote node can run out of memory (OOM).
GO-2022-0956,Parsing malicious or large YAML documents can consume excessive amounts of CPU or memory.
GO-2023-1772,Systems that run distribution built after a specific commit running on memory-restricted environments can suffer from denial of service by a crafted malicious /v2/_catalog API endpoint request.
GO-2021-0053,"Due to improper bounds checking, maliciously crafted input to generated Unmarshal methods can cause an out-of-bounds panic. If parsing messages from untrusted parties, this may be used as a denial of service vector."
GO-2021-0089,"Parsing malformed JSON which contain opening brackets, but not closing brackets, leads to an infinite loop. If operating on untrusted user input this can be used as a denial of service vector."
